Rank,Team Number,Team Name,Highest Score,Match1,Match2,Match3
1,3,Axe Robotics,0,0,0,0
2,2,Armbrae Dragonites,0,0,0,0
3,1,21st Century Space Guys,0,0,0,0
4,25,SOS (Sisters of Science),0,0,0,0
5,30,Trurobotics,0,0,0,0
5,28,The Empire,0,0,0,0
5,27,The Dynamic Robotic Duo,0,0,0,0
5,24,Shelburne Rebels,0,0,0,0
5,23,Techsperts,0,0,0,0
5,22,Shambhala Master Builders,0,0,0,0
5,21,Sacred Sharks,0,0,0,0
5,20,Royal Robots,0,0,0,0
5,19,Robotic Roadrunners,0,0,0,0
5,18,Robo4K,0,0,0,0
5,17,Robo Lobo Wired,0,0,0,0
5,15,Robotic Rhinos,0,0,0,0
5,13,Red NKECS,0,0,0,0
5,11,Legos R Us,0,0,0,0
5,9,Lego Intelligence,0,0,0,0
5,8,KCA Masterbuilders,0,0,0,0
5,7,bIsland Robotics,0,0,0,0
5,6,hippie lEgoloV3rs,0,0,0,0
5,5,Clayton Park Wildcats,0,0,0,0
